date,堵车
2018-04-11,135
2018-04-12,127
2018-04-13,139
2018-04-14,67
2018-04-15,130
2018-04-16,66
2018-04-17,124
2018-04-18,65
2018-04-19,120
2018-04-20,67
2018-04-21,66
2018-04-22,60
2018-04-23,139
2018-04-24,133
2018-04-25,128
2018-04-26,129
2018-04-27,150
2018-04-28,142
2018-04-29,102
2018-04-30,154
2018-05-01,209
2018-05-02,144
2018-05-03,122
2018-05-04,66
2018-05-05,123
2018-05-06,114
2018-05-07,122
2018-05-08,133
2018-05-09,120
2018-05-10,120
2018-05-11,124
2018-05-12,114
2018-05-13,69
2018-05-14,120
2018-05-15,120
2018-05-16,122
2018-05-17,117
2018-05-18,126
2018-05-19,130
2018-05-20,63
2018-05-21,129
2018-05-22,134
2018-05-23,120
2018-05-24,126
2018-05-25,120
2018-05-26,70
2018-05-27,67
2018-05-28,76
2018-05-29,133
2018-05-30,65
2018-05-31,71
2018-06-01,131
2018-06-02,122
2018-06-03,132
2018-06-04,123
2018-06-05,125
2018-06-06,117
2018-06-07,118
2018-06-08,65
2018-06-09,122
2018-06-10,73
2018-06-11,138
2018-06-12,120
2018-06-13,124
2018-06-14,132
2018-06-15,129
2018-06-16,130
2018-06-17,63
2018-06-18,140
2018-06-19,117
2018-06-20,146
2018-06-21,131
2018-06-22,128
2018-06-23,122
2018-06-24,120
2018-06-25,120
2018-06-26,69
2018-06-27,128
2018-06-28,59
2018-06-29,137
2018-06-30,120
2018-07-01,66
2018-07-02,123
2018-07-03,127
2018-07-04,67
2018-07-05,131
2018-07-06,137
2018-07-07,57
2018-07-08,122
2018-07-09,83
2018-07-10,128
2018-07-11,118
2018-07-12,116
2018-07-13,66
2018-07-14,119
2018-07-15,117
2018-07-16,67
2018-07-17,66
2018-07-18,128
2018-07-19,131
2018-07-20,132
2018-07-21,123
2018-07-22,63
2018-07-23,117
2018-07-24,125
2018-07-25,130
2018-07-26,69
2018-07-27,130
2018-07-28,69
2018-07-29,118
2018-07-30,61
2018-07-31,124
2018-08-01,66
2018-08-02,0
2018-08-03,122
2018-08-04,124
2018-08-05,61
2018-08-06,129
2018-08-07,127
2018-08-08,124
2018-08-09,119
2018-08-10,124
2018-08-11,61
2018-08-12,71
2018-08-13,132
2018-08-14,130
2018-08-15,122
2018-08-16,123
2018-08-17,139
2018-08-18,61
2018-08-19,126
2018-08-20,117
2018-08-21,120
2018-08-22,122
2018-08-23,114
2018-08-24,127
2018-08-25,65
2018-08-26,127
2018-08-27,67
2018-08-28,65
2018-08-29,130
2018-08-30,70
2018-08-31,122
2018-09-01,63
2018-09-02,117
2018-09-03,128
2018-09-04,70
2018-09-05,137
2018-09-06,124
2018-09-07,74
2018-09-08,76
2018-09-09,73
2018-09-10,141
2018-09-11,69
2018-09-12,82
2018-09-13,120
2018-09-14,130
2018-09-15,76
2018-09-16,128
2018-09-17,91
2018-09-18,71
2018-09-19,70
2018-09-20,139
2018-09-21,143
2018-09-22,125
2018-09-23,80
2018-09-24,135
2018-09-25,163
2018-09-26,120
2018-09-27,136
2018-09-28,142
2018-09-29,174
2018-09-30,319
2018-10-01,589
2018-10-02,300
2018-10-03,217
2018-10-04,173
2018-10-05,158
2018-10-06,166
2018-10-07,198
2018-10-08,137
2018-10-09,132
2018-10-10,138
2018-10-11,124
2018-10-12,130
2018-10-13,133
2018-10-14,131
2018-10-15,128
2018-10-16,66
2018-10-17,130
2018-10-18,120
2018-10-19,123
2018-10-20,65
2018-10-21,124
2018-10-22,126
2018-10-23,124
2018-10-24,61
2018-10-25,122
2018-10-26,130
2018-10-27,78
2018-10-28,126
2018-10-29,134
2018-10-30,120
2018-10-31,126
2018-11-01,120
2018-11-02,71
2018-11-03,132
2018-11-04,122
2018-11-05,71
2018-11-06,70
2018-11-07,125
2018-11-08,122
2018-11-09,124
2018-11-10,69
2018-11-11,120
2018-11-12,124
2018-11-13,65
2018-11-14,70
2018-11-15,67
2018-11-16,76
2018-11-17,57
2018-11-18,69
2018-11-19,138
2018-11-20,60
2018-11-21,127
2018-11-22,66
2018-11-23,133
2018-11-24,67
2018-11-25,79
2018-11-26,159
2018-11-27,136
2018-11-28,74
2018-11-29,137
2018-11-30,79
2018-12-01,126
2018-12-02,70
2018-12-03,141
2018-12-04,127
2018-12-05,129
2018-12-06,131
2018-12-07,147
2018-12-08,136
2018-12-09,126
2018-12-10,130
2018-12-11,126
2018-12-12,60
2018-12-13,60
2018-12-14,126
2018-12-15,123
2018-12-16,118
2018-12-17,134
2018-12-18,127
2018-12-19,130
2018-12-20,127
2018-12-21,127
2018-12-22,131
2018-12-23,70
2018-12-24,70
2018-12-25,128
2018-12-26,122
2018-12-27,128
2018-12-28,122
2018-12-29,143
2018-12-30,61
2018-12-31,69
